Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
50,Thursday Jun 14,boxscore,STL,,BSN,W,12,9,,31-19,2,2.5,Carleton,Mangum,Dean,2:25,D,,+,
51,Friday Jun 15,boxscore,STL,,BSN,L,4,10,,31-20,2,2.5,Brandt,Mooney,,2:20,D,,-,
52,Saturday Jun 16,boxscore,STL,,PHI,L,3,8,,31-21,2,3.5,Darrow,Dean,Johnson,,D,,--,
53,Sunday Jun 17 (1),boxscore,STL,,PHI,W,6,0,,32-21,2,3.0,Dean,Davis,,1:48,D,,+,
54,Sunday Jun 17 (2),boxscore,STL,,PHI,W,7,5,8,33-21,2,3.0,Dean,Johnson,,2:30,D,,++,1934-06-18 (Schedule change)
55,Tuesday Jun 19,boxscore,STL,,PHI,L,8,10,12,33-22,2,4.0,Davis,Dean,,3:14,D,,-,
56,Wednesday Jun 20,boxscore,STL,,BRO,L,5,9,,33-23,2,5.0,Mungo,Hallahan,,,D,,--,
57,Thursday Jun 21,boxscore,STL,,BRO,W,9,2,,34-23,2,4.0,Dean,Zachary,,1:54,D,,+,
58,Friday Jun 22,boxscore,STL,,BRO,W,7,2,,35-23,2,3.0,Dean,Benge,,2:07,D,,++,
59,Saturday Jun 23,boxscore,STL,,BRO,W,5,4,,36-23,2,2.0,Dean,Munns,,,D,,+++,
60,Sunday Jun 24,boxscore,STL,,NYG,L,7,9,,36-24,2,3.0,Luque,Lindsey,Bell,2:43,D,15000,-,
61,Monday Jun 25,boxscore,STL,,NYG,L,7,10,,36-25,3,4.0,Hubbell,Hallahan,,2:04,D,,--,
62,Tuesday Jun 26,boxscore,STL,,NYG,W,13,7,,37-25,3,3.0,Dean,Smith,,2:25,D,15000,+,
63,Wednesday Jun 27,boxscore,STL,,NYG,W,8,7,,38-25,3,2.0,Dean,Luque,Mooney,2:18,D,,++,
